video_url,description,hashtags,usernames,food_related
https://www.tiktokv.com/share/video/7485511493115448631/,"6173 curtidas,35 comentários.Vídeo do TikTok de viduca (@euviduca): ""Descubra coquetéis como Haiboru Clássico e Wasabi Sour no Koya88. Uma experiência única de Happy Hour no coração de SP! #sp #saopaulo #happyhour #rolesp"".","['#sp', '#saopaulo', '#happyhour', '#rolesp"".']",['(@euviduca):'],food
https://www.tiktokv.com/share/video/7491299674536561926/,"995 curtidas,Vídeo do TikTok de FicaDica_SP (@ficadica_sp): ""Descubra a encantadora padaria artesanal @paceebenepadariaartesanal com brunch delicioso e pet friendly em SP. Vale a pena visitar! #brunch #SãoPaulo #comida"".","['#brunch', '#SãoPaulo', '#comida"".']",['(@ficadica_sp):'],food
https://www.tiktokv.com/share/video/7494386772684639543/,"4735 curtidas,24 comentários.Vídeo do TikTok de Eai bora? (@eai.bora): ""Descubra o conforto da comida japonesa na @1908coffeestation, um lugar aconchegante para desfrutar de yakisoba, guioza e mais. Visite-nos no Paraíso! #cafeteriajaponesa #cafeteriaemsp #comidajaponesa"".","['#cafeteriajaponesa', '#cafeteriaemsp', '#comidajaponesa"".']",['(@eai.bora):'],food
https://www.tiktokv.com/share/video/7497696488286326038/,"644.7K curtidas,5032 comentários.Vídeo do TikTok de Aimee Denton (@imeedenton): ""Discover why nobody does ketchup quite like Heinz! Dive into the flavorful world of Heinz ketchup and its unique taste. #ketchup #heinz"".","['#ketchup', '#heinz"".']",['(@imeedenton):'],food
https://www.tiktokv.com/share/video/7498372366301449527/,"130.7K curtidas,779 comentários.Vídeo do TikTok de Midori (@midoritiktok): ""Comida chinesa de 5 a 30 reais em São Paulo! Vem que a gente te mostra aqui no Midori Eats colaboração com @Sophia Wang • cultura asiática ❤️🇨🇳 📍Suifong Padaria - R. da Glória, 140 - Liberdade, São Paulo #saopaulo #restaurante #gastronomia #comidachinesa #liberdade"".lamen na liberdade sp. som original - Midori.","['#saopaulo', '#restaurante', '#gastronomia', '#comidachinesa', '#liberdade"".lamen']",['(@midoritiktok):'],food
https://www.tiktokv.com/share/video/7487353633999162679/,"14.7K curtidas,46 comentários.Vídeo do TikTok de Julia em SP (@_juliaemsp): ""Explore o melhor da comida de rua coreana na Liberdade, SP. Venha experimentar pratos deliciosos como frango sweet spicy e kilgori! #comidaderua #coreia #liberdadesp"".","['#comidaderua', '#coreia', '#liberdadesp"".']",['(@_juliaemsp):'],food
https://www.tiktokv.com/share/video/7478831492517432582/,"6527 curtidas,60 comentários.Vídeo do TikTok de Cola em Sampa | Dicas (@colaemsampa): ""Explore LANCHO, uma lanchonete incrível na Avenida Paulista! Experimente delícias como fritas com carne louca. #dicas #saopaulo #gastronomia"".","['#dicas', '#saopaulo', '#gastronomia"".']",['(@colaemsampa):'],food
https://www.tiktokv.com/share/video/7483255884018208055/,"19.2K curtidas,102 comentários.Vídeo do TikTok de Gourmel | Gastronomia e Viagem (@gourmel_): ""Explore cafés e restaurantes imperdíveis em SP! Deixe sua opinião e compartilhe de onde quer o próximo vídeo! #sp #dicasp #restaurantesp #foodtiktok"".","['#sp', '#dicasp', '#restaurantesp', '#foodtiktok"".']",['(@gourmel_):'],food
https://www.tiktokv.com/share/video/7497636152925506838/,"2.6M curtidas,5256 comentários.Vídeo do TikTok de Rowena (@.rowena.1): ""🌸"".cherry blossoms. blue sunday - ୨୧.",[],['(@.rowena.1):'],food
https://www.tiktokv.com/share/video/7497569216388795653/,"429.6K curtidas,4521 comentários.Vídeo do TikTok de Michellests22 (@michelle.2915): ""Aprenda a escolher frutas e vegetais maduros e doces! Dicas práticas para garantir a melhor compra. #ComoEscolherFrutas #DicasDeCulinária"".","['#ComoEscolherFrutas', '#DicasDeCulinária"".']",['(@michelle.2915):'],food
https://www.tiktokv.com/share/video/7482043989663730987/,"4.4M curtidas,38K comentários.Vídeo do TikTok de arinaway (@arinawaytime): ""#pig #морскаясвинка"".cobayo. оригинальный звук - Август мини такса 🌻.","['#морскаясвинка"".cobayo.']",['(@arinawaytime):'],food
https://www.tiktokv.com/share/video/7486469689107942664/,"2.6M curtidas,7896 comentários.Vídeo do TikTok de Chichi's Aesthetics (@chinxoxo__): ""Tuklasin ang nakakatuwang pagbabago ni Zoeyyyy! Cream na kulay siya ngayon. Panoorin ang aming paboritong aso! #dogsoftiktok #pomeranian"".","['#dogsoftiktok', '#pomeranian"".']",['(@chinxoxo__):'],food
https://www.tiktokv.com/share/video/7496416282229755182/,"282K curtidas,9321 comentários.Vídeo do TikTok de barnyardinsights (@barnyardinsights): ""Explora la vida en la granja con pollos. ¡Conoce curiosidades y momentos divertidos! #farmlife #chicken"".","['#farmlife', '#chicken"".']",['(@barnyardinsights):'],food
